destination,Country,Continent,type,cost,Best Season,rating,Annual Visitors (M),UNESCO Site,activities,duration,total_cost,type_encoded,continent_encoded
Golden Temple,New Zealand,Oceania,City,175.07,Winter,4.8,8.78,Yes,"Beach Volley,Sightseeing,Shopping",14,2450.98,2,4
Serene Canyon,Spain,Europe,Beach,123.51,Spring,4.7,8.98,Yes,"Shopping,Trekking,Beach Volley",11,1358.6100000000001,1,2
Lush Temple,Kenya,Africa,Adventure,218.59,Winter,4.6,9.01,No,"Beach Volley,Shopping,Museum",14,3060.26,0,0
Grand Falls,Vietnam,Asia,Adventure,114.9,Winter,4.4,2.67,Yes,"Museum,Shopping",7,804.3000000000001,0,1
Golden Valley,Thailand,Asia,Adventure,213.69,Autumn,4.4,8.68,No,"Sightseeing,Food Tour,Trekking",6,1282.1399999999999,0,1
Ancient Temple,Italy,Europe,Adventure,150.26,Spring,4.4,4.47,No,Skiing,5,751.3,0,2
Mystic Canyon,Canada,North America,City,130.22,Autumn,4.4,3.71,Yes,Beach Volley,10,1302.2,2,3
Sacred Valley,India,Asia,City,141.94,Summer,4.6,5.43,No,Trekking,14,1987.1599999999999,2,1
Serene Ruins,Italy,Europe,Religious,102.85,Summer,4.9,9.73,No,"Beach Volley,Food Tour",12,1234.1999999999998,5,2
Grand Beach,Thailand,Asia,Adventure,54.06,Autumn,4.5,3.21,Yes,"Skiing,Food Tour,Beach Volley",4,216.24,0,1
Crystal Pagoda,USA,North America,Adventure,155.12,Summer,4.4,5.28,No,"Trekking,Skiing",4,620.48,0,3
Crystal Temple,Argentina,South America,Adventure,140.38,Autumn,4.6,1.88,Yes,Skiing,13,1824.94,0,5
Golden Beach,Italy,Europe,Nature,166.99,Summer,4.5,2.8,No,"Skiing,Sightseeing,Shopping",3,500.97,4,2
Sacred Valley,South Africa,Africa,Adventure,207.14,Winter,4.7,2.76,Yes,"Food Tour,Trekking",3,621.42,0,0
Serene Plaza,USA,North America,Beach,109.91,Summer,4.9,6.51,No,Surfing,9,989.1899999999999,1,3
Golden Park,Greece,Europe,Nature,179.34,Winter,5.0,1.36,No,Museum,12,2152.08,4,2
Serene Falls,Spain,Europe,Adventure,125.33,Spring,4.8,2.27,No,"Trekking,Sightseeing",14,1754.62,0,2
Crystal Pagoda,Mexico,North America,Historical,154.98,Autumn,4.3,6.94,Yes,"Skiing,Sightseeing,Food Tour",7,1084.86,3,3
Ancient Valley,Peru,South America,Beach,150.46,Summer,4.4,2.65,No,"Skiing,Museum,Food Tour",4,601.84,1,5
Hidden Valley,New Zealand,Oceania,City,96.88,Spring,4.6,7.06,Yes,"Trekking,Surfing",8,775.04,2,4
Sacred Canyon,Mexico,North America,Historical,181.03,Spring,4.5,1.81,Yes,"Beach Volley,Sightseeing",14,2534.42,3,3
Sacred Canyon,Egypt,Africa,Religious,110.84,Summer,4.4,9.28,No,Food Tour,11,1219.24,5,0
Ancient Forest,Kenya,Africa,Beach,132.16,Winter,4.7,6.77,Yes,"Surfing,Trekking",14,1850.24,1,0
Hidden Temple,Germany,Europe,Historical,161.37,Spring,4.9,5.53,No,Trekking,10,1613.7,3,2
Crystal Beach,Kenya,Africa,Religious,133.78,Spring,4.4,9.02,No,"Skiing,Surfing",10,1337.8,5,0
Golden Beach,Spain,Europe,Religious,162.99,Autumn,4.7,3.72,No,"Surfing,Food Tour,Beach Volley",4,651.96,5,2
Lush Forest,Peru,South America,City,214.97,Spring,4.2,9.02,Yes,Trekking,7,1504.79,2,5
Mystic Forest,Thailand,Asia,Nature,162.52,Summer,4.6,6.6,Yes,"Museum,Sightseeing,Food Tour",14,2275.28,4,1
Golden Canyon,Italy,Europe,Historical,161.31,Winter,4.8,0.59,No,"Food Tour,Surfing",14,2258.34,3,2
Serene Valley,Japan,Asia,Beach,164.65,Spring,4.3,0.55,Yes,"Food Tour,Beach Volley",7,1152.55,1,1
Mystic Temple,Japan,Asia,Nature,158.74,Autumn,4.1,7.07,No,Surfing,11,1746.14,4,1
Hidden Plaza,USA,North America,City,90.43,Autumn,4.7,7.27,Yes,"Museum,Trekking",7,633.01,2,3
Ancient Plaza,Kenya,Africa,Religious,112.44,Winter,4.2,7.59,Yes,Surfing,8,899.52,5,0
Lush Falls,Italy,Europe,Adventure,198.17,Winter,4.6,6.75,Yes,Beach Volley,13,2576.21,0,2
Serene Plaza,Argentina,South America,City,106.62,Winter,4.5,3.99,Yes,"Beach Volley,Museum,Sightseeing",3,319.86,2,5
Crystal Falls,Peru,South America,Historical,105.52,Summer,4.3,9.74,No,"Sightseeing,Shopping,Skiing",6,633.12,3,5
Sacred Falls,Morocco,Africa,Nature,193.93,Autumn,4.4,6.5,No,"Surfing,Museum",5,969.6500000000001,4,0
Crystal Beach,France,Europe,Beach,150.65,Spring,4.9,5.98,Yes,"Trekking,Shopping,Sightseeing",6,903.9000000000001,1,2
Hidden Plaza,Greece,Europe,Nature,79.68,Autumn,4.5,7.36,No,"Shopping,Food Tour",8,637.44,4,2
Serene Canyon,Egypt,Africa,Nature,96.46,Summer,4.6,9.43,No,"Surfing,Beach Volley",7,675.2199999999999,4,0
Sacred Temple,Italy,Europe,Religious,143.79,Autumn,4.7,9.68,Yes,"Sightseeing,Surfing",3,431.37,5,2
Hidden Park,Japan,Asia,Adventure,107.66,Summer,4.0,8.59,No,"Shopping,Museum",3,322.98,0,1
Crystal Forest,Peru,South America,Religious,103.7,Summer,4.3,5.79,No,"Museum,Shopping,Trekking",9,933.3000000000001,5,5
Crystal Forest,Argentina,South America,Religious,158.66,Autumn,4.6,5.92,No,"Sightseeing,Skiing",10,1586.6,5,5
Grand Ruins,Germany,Europe,City,161.55,Autumn,4.3,9.91,No,"Surfing,Shopping,Beach Volley",13,2100.15,2,2
Golden Canyon,Egypt,Africa,Nature,152.91,Spring,4.2,8.84,No,"Skiing,Sightseeing",8,1223.28,4,0
Hidden Pagoda,Argentina,South America,City,193.62,Autumn,4.8,7.17,No,Shopping,5,968.1,2,5
Mystic Valley,India,Asia,Adventure,81.12,Winter,4.2,8.19,No,"Trekking,Shopping,Food Tour",4,324.48,0,1
Serene Canyon,Argentina,South America,Nature,165.22,Spring,4.6,9.18,Yes,"Museum,Sightseeing,Surfing",13,2147.86,4,5
Serene Pagoda,Mexico,North America,City,175.75,Winter,5.0,8.08,Yes,"Sightseeing,Skiing,Shopping",9,1581.75,2,3
Serene Plaza,Egypt,Africa,Beach,216.54,Autumn,4.8,8.06,No,"Shopping,Surfing,Food Tour",11,2381.94,1,0
Golden Valley,Vietnam,Asia,Adventure,134.24,Winter,4.7,4.07,Yes,"Skiing,Museum,Beach Volley",6,805.44,0,1
Sacred Pagoda,Thailand,Asia,City,158.25,Winter,4.2,0.84,No,"Skiing,Sightseeing,Shopping",10,1582.5,2,1
Ancient Pagoda,Italy,Europe,Nature,265.73,Winter,3.9,3.22,No,"Surfing,Trekking",8,2125.84,4,2
Lush Park,Germany,Europe,Adventure,129.27,Spring,4.5,0.85,No,"Trekking,Sightseeing",12,1551.2400000000002,0,2
Lush Pagoda,Australia,Oceania,Adventure,126.4,Autumn,4.8,1.71,No,Sightseeing,14,1769.6000000000001,0,4
Sacred Pagoda,Brazil,South America,City,228.02,Spring,4.5,2.55,No,Skiing,9,2052.1800000000003,2,5
Crystal Temple,Morocco,Africa,City,113.48,Spring,4.6,0.99,No,Food Tour,12,1361.76,2,0
Ancient Ruins,Brazil,South America,Historical,269.45,Spring,5.0,6.56,No,Museum,12,3233.3999999999996,3,5
Serene Valley,Germany,Europe,City,48.74,Autumn,4.6,8.05,No,Skiing,6,292.44,2,2
Grand Beach,Thailand,Asia,Adventure,127.78,Spring,4.0,1.25,No,"Sightseeing,Skiing",7,894.46,0,1
Golden Park,Canada,North America,Adventure,175.25,Autumn,4.8,4.39,No,Shopping,3,525.75,0,3
Crystal Plaza,China,Asia,Adventure,133.29,Summer,4.4,2.88,No,"Museum,Skiing",12,1599.48,0,1
Crystal Plaza,Thailand,Asia,Nature,238.27,Winter,4.6,6.77,No,"Surfing,Food Tour",14,3335.78,4,1
Grand Ruins,Vietnam,Asia,Beach,168.86,Autumn,5.0,6.31,No,"Beach Volley,Food Tour,Sightseeing",7,1182.02,1,1
Golden Valley,India,Asia,City,74.03,Summer,4.4,3.88,No,Shopping,4,296.12,2,1
Mystic Beach,Morocco,Africa,Adventure,138.13,Winter,5.0,1.43,No,"Skiing,Food Tour,Sightseeing",7,966.91,0,0
Hidden Falls,Brazil,South America,Adventure,30.0,Spring,4.2,2.15,Yes,"Shopping,Sightseeing,Surfing",7,210.0,0,5
Ancient Pagoda,China,Asia,Historical,50.25,Autumn,4.1,6.35,Yes,"Food Tour,Surfing,Trekking",12,603.0,3,1
Hidden Temple,France,Europe,Religious,128.0,Summer,4.5,4.06,No,Beach Volley,9,1152.0,5,2
Serene Temple,Morocco,Africa,Beach,152.93,Summer,5.0,8.64,No,Trekking,7,1070.51,1,0
Lush Valley,France,Europe,Nature,100.92,Winter,4.6,1.17,Yes,"Museum,Surfing",7,706.44,4,2
Hidden Ruins,South Africa,Africa,City,139.88,Autumn,4.5,6.06,No,"Sightseeing,Museum,Surfing",12,1678.56,2,0
Mystic Canyon,Egypt,Africa,Nature,155.68,Summer,4.7,4.19,No,"Surfing,Beach Volley,Trekking",10,1556.8000000000002,4,0
Grand Plaza,Greece,Europe,Nature,119.24,Summer,5.0,5.68,No,"Beach Volley,Trekking",11,1311.6399999999999,4,2
Crystal Park,Canada,North America,Beach,142.41,Winter,4.7,9.63,Yes,Surfing,14,1993.74,1,3
Grand Falls,Greece,Europe,Nature,125.68,Summer,4.6,3.53,No,Surfing,11,1382.48,4,2
Grand Pagoda,Spain,Europe,Nature,120.53,Spring,4.8,1.62,Yes,"Surfing,Skiing,Shopping",3,361.59000000000003,4,2
Lush Ruins,Greece,Europe,Adventure,197.6,Spring,4.9,8.84,No,"Museum,Surfing,Trekking",13,2568.7999999999997,0,2
Sacred Pagoda,Thailand,Asia,City,190.64,Spring,4.7,3.18,No,"Sightseeing,Food Tour",11,2097.04,2,1
Serene Valley,India,Asia,Adventure,177.59,Spring,4.3,8.16,No,"Shopping,Skiing,Sightseeing",11,1953.49,0,1
Grand Falls,Brazil,South America,Adventure,148.95,Winter,4.5,4.03,No,"Beach Volley,Food Tour,Sightseeing",6,893.6999999999999,0,5
Serene Falls,France,Europe,Adventure,116.54,Spring,4.8,9.34,Yes,"Skiing,Museum,Food Tour",9,1048.8600000000001,0,2
Crystal Forest,Brazil,South America,Historical,139.12,Spring,4.8,7.63,No,"Beach Volley,Shopping",10,1391.2,3,5
Grand Pagoda,France,Europe,Nature,129.6,Winter,4.6,9.07,Yes,Skiing,9,1166.3999999999999,4,2
Lush Pagoda,New Zealand,Oceania,City,215.27,Autumn,4.5,3.54,No,"Food Tour,Skiing",13,2798.51,2,4
Serene Canyon,France,Europe,Beach,138.04,Spring,4.8,0.6,Yes,Trekking,11,1518.4399999999998,1,2
Sacred Falls,Kenya,Africa,Nature,166.21,Spring,4.5,9.53,No,"Skiing,Shopping,Museum",7,1163.47,4,0
Lush Canyon,Thailand,Asia,Religious,245.62,Spring,4.8,4.76,No,"Surfing,Trekking",14,3438.6800000000003,5,1
Serene Falls,Argentina,South America,Historical,99.7,Winter,4.1,6.89,Yes,Surfing,8,797.6,3,5
Lush Canyon,Greece,Europe,Religious,188.53,Winter,4.7,8.0,Yes,"Trekking,Surfing",10,1885.3,5,2
Serene Canyon,South Africa,Africa,Nature,149.39,Spring,4.2,1.05,No,"Skiing,Surfing",6,896.3399999999999,4,0
Sacred Ruins,Mexico,North America,Historical,45.5,Winter,5.0,8.93,No,Surfing,7,318.5,3,3
Mystic Pagoda,Brazil,South America,Beach,108.73,Summer,4.4,1.86,No,Surfing,7,761.11,1,5
Lush Falls,Greece,Europe,Beach,180.69,Spring,4.9,1.46,No,"Beach Volley,Food Tour,Shopping",10,1806.9,1,2
Lush Valley,USA,North America,Beach,162.25,Spring,4.3,1.19,No,Trekking,4,649.0,1,3
Golden Ruins,Spain,Europe,Adventure,177.96,Autumn,4.8,1.27,Yes,"Skiing,Food Tour",3,533.88,0,2
Serene Valley,Germany,Europe,Nature,77.6,Spring,4.1,8.22,Yes,Sightseeing,8,620.8,4,2
Grand Pagoda,New Zealand,Oceania,Adventure,116.79,Winter,4.9,1.29,No,Sightseeing,11,1284.69,0,4
Golden Park,India,Asia,Historical,165.55,Autumn,4.9,4.53,No,"Trekking,Beach Volley,Shopping",12,1986.6000000000001,3,1
Ancient Ruins,Greece,Europe,City,134.88,Winter,4.5,4.95,Yes,"Beach Volley,Food Tour",7,944.16,2,2
Grand Pagoda,Mexico,North America,City,166.14,Summer,4.3,7.59,Yes,"Sightseeing,Trekking,Shopping",6,996.8399999999999,2,3
Crystal Canyon,Egypt,Africa,Adventure,174.63,Spring,4.5,4.06,Yes,Surfing,9,1571.67,0,0
Serene Plaza,India,Asia,Beach,184.51,Winter,4.4,2.62,No,"Skiing,Sightseeing",10,1845.1,1,1
Crystal Ruins,Greece,Europe,Nature,153.48,Winter,4.8,9.93,No,"Trekking,Shopping,Skiing",14,2148.72,4,2
Crystal Pagoda,Spain,Europe,Beach,154.88,Winter,4.3,9.71,No,Skiing,11,1703.6799999999998,1,2
Crystal Forest,Greece,Europe,Adventure,263.79,Spring,4.6,7.11,No,Beach Volley,8,2110.32,0,2
Golden Plaza,New Zealand,Oceania,Adventure,257.66,Autumn,4.3,6.05,Yes,"Skiing,Museum",5,1288.3000000000002,0,4
Serene Park,Peru,South America,Nature,144.45,Spring,4.8,6.39,Yes,"Museum,Surfing,Beach Volley",12,1733.3999999999999,4,5
Mystic Pagoda,South Africa,Africa,Beach,108.01,Spring,4.3,4.91,No,"Shopping,Trekking,Skiing",14,1512.14,1,0
Mystic Park,Australia,Oceania,Religious,201.63,Autumn,4.0,1.24,No,Museum,6,1209.78,5,4
Lush Falls,Thailand,Asia,Religious,167.09,Autumn,5.0,3.44,No,"Museum,Sightseeing",14,2339.26,5,1
Mystic Falls,Thailand,Asia,Historical,178.57,Spring,4.8,2.04,No,"Trekking,Surfing,Beach Volley",3,535.71,3,1
Grand Forest,Thailand,Asia,Religious,83.99,Autumn,5.0,9.36,Yes,"Trekking,Shopping",14,1175.86,5,1
Hidden Valley,Italy,Europe,Adventure,146.32,Summer,4.4,8.2,No,"Trekking,Sightseeing,Museum",10,1463.1999999999998,0,2
Sacred Pagoda,China,Asia,Nature,64.34,Summer,4.9,9.71,No,"Food Tour,Beach Volley,Skiing",12,772.08,4,1
Lush Pagoda,Thailand,Asia,Beach,163.78,Winter,4.6,4.95,No,"Trekking,Skiing",9,1474.02,1,1
Crystal Pagoda,Italy,Europe,City,70.28,Spring,4.3,1.04,No,Food Tour,14,983.9200000000001,2,2
Serene Ruins,Vietnam,Asia,Beach,162.97,Summer,4.6,10.0,No,"Shopping,Food Tour,Sightseeing",14,2281.58,1,1
Ancient Temple,Argentina,South America,Nature,150.26,Summer,4.5,7.81,No,"Shopping,Trekking,Skiing",8,1202.08,4,5
Mystic Pagoda,Greece,Europe,Adventure,134.35,Summer,4.0,1.73,No,Shopping,5,671.75,0,2
Lush Pagoda,Argentina,South America,Nature,156.01,Spring,4.7,2.67,No,"Skiing,Beach Volley",9,1404.09,4,5
Sacred Ruins,Mexico,North America,Adventure,203.02,Winter,5.0,3.9,No,Trekking,7,1421.14,0,3
Sacred Canyon,Spain,Europe,Historical,166.62,Autumn,4.3,5.44,No,"Trekking,Sightseeing",5,833.1,3,2
Lush Ruins,France,Europe,Historical,155.74,Spring,5.0,8.6,No,"Shopping,Food Tour",11,1713.14,3,2
Sacred Forest,India,Asia,Nature,253.04,Autumn,5.0,8.83,No,"Museum,Surfing,Shopping",6,1518.24,4,1
Serene Park,China,Asia,Adventure,98.98,Spring,4.4,0.77,No,"Food Tour,Beach Volley",11,1088.78,0,1
Lush Plaza,China,Asia,City,182.27,Autumn,4.9,7.19,Yes,"Sightseeing,Food Tour",14,2551.78,2,1
Golden Ruins,China,Asia,Religious,128.32,Winter,4.4,0.64,No,"Shopping,Surfing,Sightseeing",8,1026.56,5,1
Lush Valley,Australia,Oceania,Nature,202.92,Spring,4.0,4.23,No,"Museum,Food Tour,Sightseeing",7,1420.4399999999998,4,4
Grand Ruins,Australia,Oceania,Adventure,194.3,Summer,4.5,3.81,No,"Museum,Sightseeing,Skiing",12,2331.6000000000004,0,4
Grand Valley,Spain,Europe,Adventure,225.12,Spring,4.5,4.27,No,"Sightseeing,Beach Volley,Food Tour",5,1125.6,0,2
Lush Forest,Peru,South America,Religious,199.08,Autumn,4.6,9.52,No,"Museum,Trekking",11,2189.88,5,5
Crystal Temple,Italy,Europe,Nature,64.83,Summer,4.5,4.86,Yes,Shopping,6,388.98,4,2
Ancient Pagoda,Spain,Europe,Adventure,149.69,Summer,4.6,3.62,No,"Museum,Surfing,Sightseeing",5,748.45,0,2
Golden Falls,USA,North America,Religious,84.78,Spring,4.7,1.22,No,Food Tour,10,847.8,5,3
Mystic Temple,Italy,Europe,Historical,94.94,Spring,4.6,3.78,No,"Food Tour,Museum",12,1139.28,3,2
Ancient Park,Australia,Oceania,Adventure,146.87,Winter,4.8,6.84,Yes,Trekking,4,587.48,0,4
Mystic Temple,China,Asia,Nature,127.67,Winter,4.4,0.89,No,Shopping,4,510.68,4,1
Golden Pagoda,India,Asia,Religious,123.49,Spring,4.3,2.18,No,Museum,11,1358.3899999999999,5,1
Hidden Park,Argentina,South America,Religious,78.3,Winter,4.4,3.96,Yes,"Trekking,Shopping",12,939.5999999999999,5,5
Lush Canyon,Argentina,South America,Religious,248.24,Autumn,4.5,0.87,No,Sightseeing,3,744.72,5,5
Grand Park,Canada,North America,Adventure,175.73,Autumn,4.9,1.28,Yes,"Surfing,Beach Volley,Shopping",3,527.1899999999999,0,3
Crystal Beach,Japan,Asia,Nature,144.38,Spring,4.4,8.16,No,"Beach Volley,Sightseeing",4,577.52,4,1
Golden Park,Kenya,Africa,Adventure,113.18,Spring,4.7,2.49,Yes,"Trekking,Shopping,Museum",4,452.72,0,0
Hidden Temple,Vietnam,Asia,Historical,136.25,Winter,3.8,6.37,No,"Sightseeing,Shopping",4,545.0,3,1
Mystic Valley,Morocco,Africa,City,118.67,Spring,3.8,7.6,No,"Museum,Surfing,Shopping",3,356.01,2,0
Lush Beach,Morocco,Africa,Religious,178.83,Summer,4.6,5.36,No,"Museum,Skiing",13,2324.79,5,0
Crystal Falls,South Africa,Africa,Historical,101.39,Winter,4.5,4.75,Yes,Food Tour,14,1419.46,3,0
Sacred Falls,Thailand,Asia,City,69.68,Winter,4.6,3.06,Yes,Trekking,3,209.04000000000002,2,1
Crystal Pagoda,Australia,Oceania,Nature,140.65,Spring,4.5,3.56,No,Trekking,11,1547.15,4,4
Lush Valley,Argentina,South America,Religious,117.67,Spring,4.2,1.64,No,"Surfing,Trekking,Sightseeing",3,353.01,5,5
Sacred Falls,Germany,Europe,City,160.91,Autumn,4.8,6.95,No,Museum,11,1770.01,2,2
Ancient Pagoda,Spain,Europe,Adventure,149.6,Summer,4.9,1.33,Yes,"Beach Volley,Skiing",12,1795.1999999999998,0,2
Hidden Valley,Japan,Asia,Religious,268.72,Spring,4.8,7.58,No,Skiing,12,3224.6400000000003,5,1
Sacred Falls,Kenya,Africa,City,98.14,Autumn,4.4,3.2,Yes,Food Tour,3,294.42,2,0
Lush Canyon,Egypt,Africa,City,219.79,Summer,4.1,5.92,No,"Shopping,Trekking",6,1318.74,2,0
Golden Canyon,Morocco,Africa,Adventure,80.07,Summer,4.7,1.47,Yes,Food Tour,6,480.41999999999996,0,0
Sacred Ruins,Vietnam,Asia,Beach,127.09,Summer,4.3,2.03,Yes,"Sightseeing,Surfing",13,1652.17,1,1
Sacred Plaza,China,Asia,Adventure,120.38,Spring,4.2,2.15,No,"Shopping,Surfing,Skiing",11,1324.1799999999998,0,1
Ancient Pagoda,South Africa,Africa,Religious,30.0,Winter,4.7,9.83,No,"Beach Volley,Shopping",4,120.0,5,0
Hidden Temple,Egypt,Africa,Adventure,138.05,Spring,4.2,9.71,Yes,"Shopping,Museum",12,1656.6000000000001,0,0
Ancient Falls,India,Asia,Adventure,161.87,Winter,4.6,2.95,No,"Skiing,Food Tour",5,809.35,0,1
Crystal Temple,New Zealand,Oceania,Religious,175.05,Spring,4.2,9.33,Yes,Surfing,5,875.25,5,4
Golden Beach,Greece,Europe,Adventure,252.17,Summer,5.0,3.16,No,"Trekking,Sightseeing,Shopping",6,1513.02,0,2
Serene Valley,Peru,South America,City,116.87,Winter,4.7,3.57,No,"Shopping,Beach Volley",7,818.09,2,5
Serene Falls,New Zealand,Oceania,City,163.99,Winter,3.7,2.8,No,"Skiing,Surfing,Shopping",4,655.96,2,4
Mystic Ruins,Germany,Europe,Nature,162.99,Summer,4.2,3.24,Yes,Skiing,8,1303.92,4,2
Golden Ruins,New Zealand,Oceania,Historical,93.04,Winter,4.6,5.07,Yes,Beach Volley,6,558.24,3,4
Golden Ruins,France,Europe,Historical,117.41,Winter,4.5,3.7,No,Surfing,8,939.28,3,2
Sacred Valley,Brazil,South America,Beach,119.9,Winter,4.7,6.97,No,Sightseeing,5,599.5,1,5
Sacred Park,Spain,Europe,Adventure,176.49,Autumn,4.9,4.98,No,Trekking,5,882.45,0,2
Golden Forest,Greece,Europe,Adventure,61.49,Winter,4.2,9.33,No,"Surfing,Museum,Food Tour",9,553.41,0,2
Lush Plaza,Argentina,South America,Adventure,168.56,Summer,4.3,9.41,Yes,"Beach Volley,Food Tour",13,2191.28,0,5
Lush Valley,Thailand,Asia,Religious,174.4,Summer,5.0,8.5,No,"Museum,Surfing",3,523.2,5,1
Crystal Park,Spain,Europe,Historical,166.88,Winter,4.4,2.42,Yes,"Trekking,Shopping,Beach Volley",9,1501.92,3,2
Sacred Canyon,Morocco,Africa,Nature,134.08,Spring,4.4,8.24,No,"Sightseeing,Trekking",7,938.5600000000001,4,0
Ancient Forest,India,Asia,Nature,164.49,Autumn,5.0,3.91,Yes,"Trekking,Museum,Shopping",10,1644.9,4,1
Grand Falls,Canada,North America,Adventure,136.49,Autumn,4.8,8.26,No,Surfing,4,545.96,0,3
Hidden Plaza,India,Asia,Adventure,48.09,Autumn,4.2,4.9,No,Skiing,4,192.36,0,1
Mystic Pagoda,Peru,South America,Religious,202.58,Spring,4.2,5.28,No,"Museum,Sightseeing",10,2025.8000000000002,5,5
Ancient Falls,Spain,Europe,Beach,166.35,Summer,4.4,4.15,Yes,Skiing,14,2328.9,1,2
Sacred Forest,Germany,Europe,Nature,194.62,Summer,4.5,6.43,No,"Trekking,Shopping",12,2335.44,4,2
Grand Beach,Peru,South America,Religious,76.07,Summer,4.8,1.82,No,Surfing,3,228.20999999999998,5,5
Sacred Temple,Argentina,South America,Nature,175.47,Spring,4.9,5.57,No,"Sightseeing,Beach Volley,Surfing",5,877.35,4,5
Ancient Falls,Germany,Europe,Religious,159.09,Autumn,4.6,1.94,Yes,"Food Tour,Trekking",6,954.54,5,2
Serene Plaza,New Zealand,Oceania,Historical,95.43,Summer,4.3,7.57,No,"Skiing,Beach Volley,Trekking",3,286.29,3,4
Crystal Beach,New Zealand,Oceania,Nature,153.58,Summer,4.4,7.74,No,Shopping,9,1382.22,4,4
Hidden Beach,USA,North America,Historical,132.62,Spring,4.7,8.3,No,"Skiing,Beach Volley",13,1724.06,3,3
Golden Valley,USA,North America,City,136.51,Autumn,4.2,8.07,Yes,Beach Volley,7,955.5699999999999,2,3
Hidden Ruins,Australia,Oceania,City,128.63,Autumn,4.3,7.36,No,"Food Tour,Beach Volley",14,1800.82,2,4
Ancient Beach,Japan,Asia,Historical,193.48,Spring,4.9,7.09,No,Skiing,13,2515.24,3,1
